date,home_team,away_team,home_score,away_score,result,lambda_home,lambda_away,p_home_win,p_draw,p_away_win,predicted_outcome
2014-06-12,Brazil,Croatia,3.0,1.0,home_win,2.6136286,0.70249593,0.7885,0.1295,0.082,home_win
2014-06-13,Spain,Netherlands,1.0,5.0,away_win,1.4491189,1.1741838,0.433,0.269,0.298,home_win
2014-06-14,Ivory Coast,Japan,2.0,1.0,home_win,1.3571968,1.263857,0.396,0.261,0.343,home_win
2014-06-15,Argentina,Bosnia and Herzegovina,2.0,1.0,home_win,2.0986352,0.9452571,0.6345,0.211,0.1545,home_win
2014-06-15,Switzerland,Ecuador,2.0,1.0,home_win,1.3571968,1.263857,0.394,0.2585,0.3475,home_win
2014-06-16,Germany,Portugal,4.0,0.0,home_win,1.8030323,0.98259676,0.5565,0.2355,0.208,home_win
2014-06-17,Belgium,Algeria,2.0,1.0,home_win,2.0986352,0.9452571,0.636,0.2035,0.1605,home_win
2014-06-17,Brazil,Mexico,0.0,0.0,draw,2.6136286,0.70249593,0.7845,0.141,0.0745,home_win
2014-06-18,Australia,Netherlands,2.0,3.0,away_win,0.8469141,1.9245467,0.148,0.2365,0.6155,away_win
2014-06-19,Colombia,Ivory Coast,2.0,1.0,home_win,1.8030323,0.98259676,0.589,0.215,0.196,home_win
2014-06-19,Uruguay,England,2.0,1.0,home_win,1.2867451,1.263857,0.3795,0.2715,0.349,home_win
2014-06-20,Switzerland,France,2.0,5.0,away_win,1.2046841,1.263857,0.345,0.2705,0.3845,away_win
2014-06-21,Argentina,Iran,1.0,0.0,home_win,2.2554812,0.89581645,0.6955,0.1745,0.13,home_win
2014-06-21,Germany,Ghana,2.0,2.0,draw,2.5113645,0.7944563,0.759,0.1515,0.0895,home_win
2014-06-22,South Korea,Algeria,2.0,4.0,away_win,1.4491189,0.98259676,0.483,0.2635,0.2535,home_win
2014-06-23,Australia,Spain,0.0,3.0,away_win,0.49938336,2.1808877,0.077,0.1805,0.7425,away_win
2014-06-23,Croatia,Mexico,1.0,3.0,away_win,1.3571968,1.263857,0.377,0.2805,0.3425,home_win
2014-06-24,Japan,Colombia,1.0,4.0,away_win,1.0362451,1.6249337,0.2395,0.2455,0.515,away_win
