,Group Stage,Round of 32,Round of 16,Quarter-final,Semi-final,Final,Champion
Spain,0.3,12.0,14.7,18.6,10.3,15.2,28.9
Argentina,2.7,31.9,21.5,14.4,8.0,8.6,12.9
France,2.3,26.3,25.9,15.5,8.5,9.5,12.0
England,2.7,35.1,25.1,18.6,5.6,6.6,6.3
Brazil,8.4,26.6,18.7,15.8,17.5,6.9,6.1
Netherlands,9.9,33.2,21.7,19.8,6.1,5.2,4.1
Portugal,6.9,36.1,24.6,17.0,7.2,4.2,4.0
Germany,4.2,40.8,27.0,16.6,5.1,3.0,3.3
Switzerland,4.0,33.6,25.2,19.1,12.1,2.8,3.2
Ecuador,4.5,39.8,23.7,20.5,5.7,3.1,2.7
Croatia,7.8,41.5,23.7,15.8,5.3,3.3,2.6
Colombia,12.2,37.0,25.0,14.5,6.0,2.9,2.4
Türkiye,21.0,32.8,20.9,10.0,9.8,3.6,1.9
Japan,13.5,38.9,24.1,13.5,5.5,2.9,1.6
Uruguay,11.6,33.0,39.8,7.8,4.4,2.0,1.4
Senegal,22.2,41.1,20.9,6.3,6.5,1.7,1.3
Mexico,3.5,40.5,22.7,18.5,10.7,2.9,1.2
Norway,20.9,37.5,22.3,9.6,6.1,2.5,1.1
Belgium,10.2,51.5,24.9,7.0,3.8,1.6,1.0
Paraguay,33.8,33.6,17.1,8.1,6.0,0.9,0.5
Canada,4.1,46.5,29.6,11.1,6.7,1.6,0.4
Scotland,37.0,35.1,17.0,6.0,3.7,1.0,0.2
South Korea,24.6,43.0,18.5,9.2,3.9,0.6,0.2
Panama,40.0,36.0,15.6,6.2,1.8,0.2,0.2
Tunisia,60.2,27.4,8.3,3.2,0.7,0.1,0.1
Austria,25.9,46.9,18.0,5.5,3.1,0.5,0.1
Iran,24.2,50.1,17.3,5.8,2.2,0.3,0.1
USA,30.2,37.2,18.0,8.4,4.9,1.2,0.1
Bosnia and Herzegovina,46.2,38.8,11.0,3.5,0.2,0.2,0.1
South Africa,68.3,25.0,5.0,1.7,0.0,0.0,0.0
Czechia,32.3,38.5,19.4,6.0,3.0,0.8,0.0
Qatar,81.9,15.5,2.4,0.2,0.0,0.0,0.0
Australia,41.7,32.3,14.9,6.7,3.0,1.4,0.0
Haiti,70.3,23.6,5.1,0.8,0.1,0.1,0.0
Morocco,12.1,45.6,25.4,8.8,7.2,0.9,0.0
Egypt,36.1,46.1,13.0,2.7,1.8,0.3,0.0
Ivory Coast,37.9,42.2,13.5,5.2,1.1,0.1,0.0
Curaçao,83.9,13.9,1.7,0.4,0.1,0.0,0.0
Sweden,46.1,34.1,13.6,4.6,1.2,0.4,0.0
New Zealand,60.4,31.5,6.9,0.9,0.2,0.1,0.0
Saudi Arabia,74.2,19.2,5.5,1.1,0.0,0.0,0.0
Cape Verde,75.4,18.3,5.2,0.8,0.3,0.0,0.0
Iraq,81.7,13.4,3.9,0.5,0.5,0.0,0.0
Algeria,46.0,36.5,11.8,3.7,1.8,0.2,0.0
Jordan,61.2,25.4,9.1,3.4,0.7,0.2,0.0
DR Congo,61.6,27.4,8.1,2.3,0.4,0.2,0.0
Uzbekistan,50.8,33.4,11.0,3.5,1.1,0.2,0.0
Ghana,83.1,14.3,1.7,0.8,0.1,0.0,0.0
